( APDC2-008-03 "Acting out of panic, before considering alternatives, often leads to poor, sometimes downright disastrous, decisions. " )
( APDC2-008-06 "Fourth, when feelings between parents and children seem unusually strong, there is more going on than is immediately apparent. " )
( APDC2-008-07 "Unearthing the feelings that underlie the seemingly unreasonable behaviors is essential to avoid getting sabotaged by them. " )
( APDC2-014-03 "Sensitive parents, determined to avoid burdening their children, take pride in their self-sufficiency. " )
( APDC2-016-01 "In both cases, because of their own distress, children forget to treat their parents courteously and respectfully. " )
( APDC2-017-01 "Children act prematurely. " )
( APDC2-023-09 "She made it clear during the weeks before her death that they had done her a gross disservice. " )
( APDC2-023-10 "We only wanted to do what we thought was best for her, the nurse told us. " )
( APDC2-024-04 "Alarmed, he lost no time contacting a carpenter. " )
( APDC2-026-03 "They may become their parents helpers. " )
( APDC2-027-03 "We feel strongly that to succeed as caregivers of aging parents, adult children must remember this principle. " )
( APDC2-029-00 "This is a worthwhile distinction to bear in mind. " )
( APDC2-032-00 "Here's what we mean. " )
( APDC2-032-03 "The plan required a monthly payment whether or not heating oil was delivered. " )
( APDC2-032-13 "Mom, he suggested, as long as I'm writing this check out, why don't I pay the rest of your bills? " )
( APDC2-040-00 "The children were upset not just because they feared for their mother's welfare but also they feared for their own. " )
( APDC2-042-02 "In situations like that one, parents refusal to face facts compounds the problems of eldercare. " )
( APDC2-042-03 "When offers of needed help are rejected, children become concerned, frustrated, and eventually angry. " )
( APDC2-044-00 "Second, the refusal to see the truth may also be the result of an automatic process called denial. " )
( APDC2-047-00 "Withholding information may seem sensible to parents who don't want to trouble their children. " )
( APDC2-047-06 "Each side justifies its position: children view their parents as untrustworthy; parents see them as disrespectful. " )
( APDC2-047-07 "Both sides feel hurt, misunderstood, unappreciated, and angry. " )
( APDC2-050-04 "My father left her well provided for. " )
( APDC2-050-06 "At the supermarket she buys day-old baked goods and reduced-price vegetables in dented cans. " )
( APDC2-053-02 "Or she may be angry with her son because he visits infrequently. " )
( APDC2-055-02 "They hear insults where none are intended. " )
( APDC2-057-01 "Is any action really needed? " )
( APDC2-059-00 "Have there been any verifiable facts or events that have caused me concern? " )
( APDC2-059-02 "First, scrutiny helps you to be certain you are operating on the basis of objective, not subjective, urgency. " )
( APDC2-062-01 "Chances are, if you are reading this book, you try to stay informed about matters pertaining to the care of aging parents. " )
( APDC2-064-00 "If your parents are like most people, they will not be thrilled when you bring up the topic. " )
( APDC2-066-01 "Do I feel a need to do something, but lack compelling objective evidence that a problem exists? " )
( APDC2-069-00 "Second, your feeling may stem primarily from external factors that are affecting your thinking and judgment. " )
( APDC2-070-02 "Your father may complain about how badly lit the local roads are. " )
( APDC2-073-01 "It's a fact that some people do stand in judgment of adult children. " )
( APDC2-074-03 "Decisions motivated by needs stemming from long-standing rivalries are not likely to be sound ones. " )
( APDC2-074-04 "Even if they are, the friction that results is never in a parent's best interest. " )
( APDC2-080-02 "Tell them about what your friend has arranged and how you'd like to do as much for them as your friend is doing for his or her parents. " )
( APDC2-080-03 "See how your parents react, and what they think of the idea. " )
( APDC2-085-01 "If you're at all attuned to them you know their sore spots and vulnerabilities. " )
( APDC2-085-03 "If your mom always took pride in keeping a spotless home, then suggesting cleaning help is not likely to be welcome. " )
( APDC2-086-01 "Many parents deeply resent having their judgment questioned. " )
( APDC2-086-03 "Knowing this, plan your persuasive approach carefully. " )
( APDC2-086-04 "Anticipate reactions, prepare your rejoinders, and do your best to keep the discussion on an even keel. " )
( APDC2-086-05 "You may not succeed, but the results are likely to be better than if you were to push ahead carelessly, just hoping for the best. " )
( APDC2-088-04 "Others may get angry, accusative, or withdrawn. " )
( APDC2-089-00 "Terms such as eldercare and caregiving both imply that only one person, the giver, or carer as they say in England, is active. " )
( APDC2-093-00 "This comment was uttered by an elderly woman who called in during an interview on a talk radio station. " )
( APDC2-093-03 "The woman wanted no part of their plans. " )
( APDC2-094-00 "Our Understanding: Her children's urgings were clearly a product of their uneasiness. " )
( APDC2-096-02 "To our surprise, the man was enraged and offended by our recommendation. " )
( APDC2-097-03 "To expect gratitude from a person who is incapable of it is like waiting for an apple tree to grow oranges. " )
( APDC2-099-00 "These words were written to the editor of the New York Times, a few days after the paper published a positive article on our book. " )
( APDC2-101-05 "What should we do? " )
( APDC2-106-02 "Given the many possible areas of conflict that arise as parents age, this is a good one to remove from the list. " )
( APDC2-107-04 "What should I do? " )
( APDC2-111-00 "This caring son was caught between being respectful and being practical. " )
( APDC2-112-00 "Our Understanding: Since there was no disagreement about the move, this situation, while distressing, was not serious. " )
( APDC2-113-03 "I don't mind doing this, but lately, as soon as I come home, my father calls and complains that I never come to see them! " )
( APDC2-113-04 "I feel terrible having him think I am neglectful, and I know that things are only going to get worse. " )
( APDC2-114-01 "Her first reaction was to move them back home, so she checked out local options. " )
( APDC2-120-01 "It usually reflects longstanding problems having nothing to do with eldercare. " )
( APDC2-124-08 "If a child understands the reasons underlying a parent's choices, he or she will be less likely to contest them later. " )
( APDC2-127-00 "This question was asked of us privately, after an eldercare presentation. " )
( APDC2-127-02 "She wisely decided to take action, but she was uncertain of the steps to take. " )
( APDC2-129-04 "Although they love their home, they're considering moving to an assisted living facility because of my mother's illness. " )
( APDC2-132-02 "Although attention tends to be focused, with reason, on the ailing spouse, the needs of the well-spouse must also be considered. " )
( APDC2-133-04 "He won't lift a finger to help out, and he constantly criticizes everything I do. " )
( APDC2-134-01 "Why, he wondered, would we want to make his caregiving responsibilities more arduous than they were already? " )
( APDC2-138-00 "The woman who brought this up had her own misgivings about the value of visiting someone in the last stages of dementia. " )
( APDC2-144-04 "She felt guilty and neglectful. " )
( APDC2-145-01 "We know that barring serious illness or accident, most people adapt to age-related losses of functioning. " )
( APDC2-147-00 "So there you have it: the questions and comments we've heard most often since Are Your Parents Driving You Crazy? " )
( APDC2-148-04 "However, in other instances they are not as wise a choice as other, less costly, options. " )
( APDC2-152-01 "Have my parents indicated in any way that they are no longer comfortable living at home? " )
( APDC2-154-02 "Does this mean that they have to move? " )
( APDC2-157-05 "Pivoting door latches, which are easy to grasp and rotate, can replace doorknobs. " )
( APDC2-157-08 "The Visiting Nurse Service, for example, can provide ongoing, professional care. " )
( APDC2-157-10 "Adult day care and respite care can provide relief for a well spouse or an exhausted child. " )
( APDC2-164-01 "But beyond the norm can mean different things. " )
( APDC2-164-05 "Some require a lump sum up front, others just monthly payments. " )
( APDC2-166-00 "If the move would require that your parents sell their home, is this something they are prepared to do? " )
( APDC2-166-02 "Do you know the cost of any repairs that will be needed before sale? " )
( APDC2-167-02 "What is the ethnic and socioeconomic makeup of the resident population? " )
( APDC2-168-01 "Often, as parents give up driving, and as their friends die or move away, they are left relatively isolated. " )
( APDC2-168-04 "More specifically, can your parents climb stairs? " )
( APDC2-170-02 "Are the activities provided likely to be of interest to them? " )
( APDC2-171-04 "Your aim is to find a place that matches their temperament, style, and interests, as well as meets their physical needs. " )
( APDC2-172-01 "Would my parents have to give up activities that matter a great deal to them, like cooking or going to church? " )
( APDC2-173-02 "Perhaps there is a kitchen she can use? " )
( APDC2-174-01 "Is the food consistent with what my parents like to eat? " )
( APDC2-175-01 "If food matters to your parents, be sure the quality and variety are acceptable. " )
( APDC2-176-01 "Am I able and willing to oversee the care my parents will receive? " )
( APDC2-177-00 "Your caregiving does not end once a parent enters an assisted living facility, or nursing home, for that matter. " )
( APDC2-178 "How do I Evaluate a Particular Assisted Living Facility? " )
( APDC2-179-02 "What do you look for? " )
( APDC2-181-01 "Licensing requirements vary widely from state to state. " )
( APDC2-184-02 "As a minimum, we urge you to do the following: " )
( APDC2-187-01 "Ask what the staff-to-resident ratio is, during both daytime and nighttime. " )
( APDC2-190-00 "What are the family's wishes regarding resuscitation, intubation, and hospitalization? " )
( APDC2-191-02 "We're confident that if you do, you and your parents will be spared needless distress. " )
( APDC2-194-01 "Never confuse taking care with taking over. " )
( APDC2-208-02 "For example, the best time to prepare a living will is before a health crisis arises. " )
( APDC2-209 "Prepare yourself. " )
( APDC2-210-00 "Although it's important to know of resources your parents may need, your most important preparation is internal. " )
( APDC2-212-01 "No matter what situation you face, stay C-A-L-M: " )
( APDC2-222 "Is public transportation available slash accessible? " )
( APDC2-227 "Is the staff appropriately dressed, friendly and outgoing? " )
( APDC2-229 "Are visits with the residents encouraged and welcome that any time? " )
( APDC2-233 "Are doorways, hallways, and rooms accommodating to wheelchairs and walkers? " )
( APDC2-234 "Are elevators available for those unable to use stairways and handrails to aid in walking? " )
( APDC2-237 "Is the residence clean, free of odors, and appropriately heated and cooled? " )
( APDC2-242 "Are there different sizes and types of units available with optional floor plans? " )
( APDC2-244-00 "Does the residence have furnished or unfurnished rooms? " )
( APDC2-245-00 "May residents decorate their own rooms? " )
( APDC2-245-01 "Is there adequate storage space? " )
